13222213, 0
11332132, 0
11332133, 1
11122212, 0
11332131, 0
13332233, 1
11333332, 0
13132212, 0
12131333, 0
33321312, 0
33322333, 1
33322332, 0
11321332, 0
12213132, 0
13311323, 0
21313312, 0
12311133, 0
11223333, 0
12311131, 0
23133232, 1
11331133, 0
31212332, 0
12223332, 0
13332232, 0
32323222, 0
12333312, 0
23333212, 1
21233112, 0
22332321, 1
13311331, 0
22332323, 0
33311133, 1
33311132, 0
13313122, 0
32312322, 0
11121333, 0
11313133, 1
21231332, 0
21231331, 0
21323332, 1
12212133, 0
13131333, 0
32313232, 0
32313332, 0
21333322, 1
22333132, 0
23213112, 0
31113212, 0
12323322, 1
13312132, 0
13312131, 0
21332133, 0
21332132, 1
31121332, 0
12321333, 0
22313332, 0
12321331, 0
32223322, 0
13333322, 0
13333323, 0
31231312, 0
33333212, 0
12212333, 0
12212331, 0
21331232, 0
13122313, 0
21331331, 0
33211213, 0
13221113, 0
11132333, 0
22232333, 0
11321333, 0
33323312, 0
13331333, 0
13331332, 0
13331331, 0
31123133, 0
32333332, 0
13223332, 0
13332122, 0
11223332, 0
33311313, 1
33223312, 0
32222312, 0
13313312, 0
33223332, 0
31311133, 1
32221232, 0
31332233, 1
12333132, 0
11233332, 0
11133332, 0
22233112, 0
11333212, 0
11112212, 0
31333322, 0
11121223, 0
23333132, 1
13311112, 0
13312312, 0
31331332, 0
21311333, 0
13231332, 0
13231333, 0
11331312, 0
33222133, 0
23333312, 0
31311222, 0
12331333, 0
13132333, 0
23132322, 1
21313222, 1
32332233, 1
12123322, 0
32312312, 0
31313122, 0
12211332, 0
11312312, 0
31111212, 0
21232333, 0
11311322, 0
12133332, 0
11133322, 0
33313322, 0
32323212, 0
33321123, 1
12332232, 0
31223133, 0
31223132, 0
22332312, 0
23323322, 1
12113332, 0
31312233, 1
31222322, 0
13231233, 0
31312332, 0
12123132, 0
12312331, 0
12123232, 0
11311133, 1
12312233, 0
21323232, 1
31113322, 0
32323322, 0
21233332, 0
12233332, 0
22133132, 0
33323112, 0
31233122, 0
11313312, 0
12313332, 0
11322332, 0
13313212, 0
32222233, 0
13221132, 0
11123212, 0
31212232, 0
21333222, 1
31313312, 0
21332313, 0
23323212, 1
32213332, 0
11333333, 1
32123212, 0
11333112, 0
13311232, 0
13313322, 0
13313323, 0
12332332, 0
32222333, 0
32222332, 0
12311233, 0
33231133, 0
21333132, 1
12311122, 0
11223222, 0
12333121, 1
11333232, 0
13312223, 0
11333231, 1
11221313, 0
13311123, 0
12322333, 0
11122332, 0
23333222, 1
11113232, 0
31311313, 1
31311312, 0
11211333, 0
11323332, 0
11323333, 0
11121322, 0
31223322, 0
11331212, 0
13311333, 1
13311332, 0
11333322, 0
33333333, 1
33333332, 0
